,id,duracion_estadia,genero,edad,ni�os,codigo_destino,tipo_acomodacion
0,1013321,2,F,38.0,0.0,US,AirBnB
1,1009487,6,M,37.0,0.0,ES,Hotel
2,1002727,1,M,37.0,1.0,ES,AirBnB
3,1001135,5,F,50.0,0.0,UK,Hotel
4,1000796,4,F,42.0,1.0,AR,AirBnB
5,1010222,4,M,,1.0,PE,Hotel
6,1011737,2,F,40.0,0.0,US,AirBnB
7,1003308,2,F,38.0,1.0,UK,Hotel
8,1005850,2,F,31.0,,ES,Hotel
9,1013201,3,M,37.0,0.0,NL,Hotel
10,1008138,1,F,43.0,0.0,PE,Hotel
11,1014026,5,M,34.0,0.0,NL,Hotel
12,1010153,5,F,46.0,1.0,,AirBnB
13,1004882,3,F,36.0,1.0,US,Hotel
14,1011594,2,F,40.0,1.0,ES,Hotel
15,1001907,4,M,45.0,,ES,Hotel
16,1002676,1,F,22.0,0.0,PE,Hotel
17,1008795,3,F,33.0,1.0,AR,Hotel
18,1000188,4,M,41.0,1.0,US,Hotel
19,1013702,1,M,41.0,0.0,COL,AirBnB
20,1009457,3,M,44.0,1.0,AR,Hotel
21,1011962,5,F,52.0,0.0,US,Hotel
22,1000209,3,F,41.0,1.0,COL,AirBnB
23,1008909,4,F,41.0,0.0,US,Hotel
24,1006805,7,M,42.0,,UK,AirBnB
25,1007870,3,M,41.0,1.0,NL,Hotel
26,1009270,5,F,41.0,0.0,ES,Hotel
27,1008728,3,F,39.0,0.0,AR,AirBnB
28,1010894,4,F,39.0,0.0,PE,AirBnB
29,1012619,2,F,37.0,0.0,IT,AirBnB
30,1006850,2,M,29.0,1.0,PE,AirBnB
31,1003315,4,M,43.0,1.0,,Hotel
32,1000192,3,M,44.0,1.0,US,Hotel
33,1005584,3,M,47.0,1.0,COL,Hotel
34,1003790,3,F,43.0,0.0,UK,Hotel
35,1009680,5,M,,0.0,ES,AirBnB
36,1001458,3,F,36.0,1.0,PE,Hotel
37,1007176,5,F,35.0,1.0,US,Hotel
38,1004415,3,M,39.0,1.0,NL,AirBnB
39,1011193,3,M,43.0,0.0,COL,AirBnB
40,1010282,4,F,36.0,0.0,COL,AirBnB
41,1001545,3,M,41.0,0.0,US,AirBnB
42,1009576,4,M,55.0,1.0,UK,AirBnB
43,1011789,2,F,40.0,0.0,AR,AirBnB
44,1010010,5,M,31.0,1.0,ES,AirBnB
45,1005727,6,F,42.0,0.0,IT,Hotel
46,1001486,5,F,37.0,0.0,NL,AirBnB
47,1005501,3,M,51.0,0.0,IT,AirBnB
48,1010374,3,M,39.0,1.0,PE,AirBnB
49,1003533,4,F,37.0,1.0,,Hotel
50,1002773,4,M,53.0,1.0,PE,Hotel
51,1010945,4,F,44.0,0.0,,Hotel
52,1001055,6,M,,0.0,PE,AirBnB
53,1011115,3,M,44.0,1.0,IT,Hotel
54,1000412,5,F,39.0,1.0,IT,Hotel
55,1008788,3,M,33.0,0.0,ES,Hotel
56,1012900,4,F,35.0,0.0,,AirBnB
57,1004783,4,F,36.0,,COL,AirBnB
58,1001828,6,M,45.0,0.0,UK,AirBnB
59,1006281,4,F,46.0,0.0,AR,Hotel
60,1001924,3,M,43.0,0.0,COL,AirBnB
61,1010614,3,M,46.0,0.0,US,AirBnB
62,1008421,9,F,41.0,0.0,COL,Hotel
63,1010836,4,M,42.0,0.0,ES,AirBnB
64,1005783,7,M,45.0,1.0,UK,Hotel
65,1002133,3,F,40.0,1.0,ES,Hotel
66,1009912,1,M,40.0,1.0,NL,AirBnB
67,1003589,4,F,40.0,1.0,US,Hotel
68,1005546,4,F,37.0,0.0,NL,AirBnB
69,1007858,4,M,41.0,1.0,PE,Hotel
70,1005505,3,F,42.0,0.0,PE,Hotel
71,1005295,2,F,47.0,1.0,US,AirBnB
72,1006559,2,F,38.0,1.0,COL,Hotel
73,1006664,6,M,33.0,,,AirBnB
74,1003286,3,M,48.0,0.0,,AirBnB
75,1003321,3,M,41.0,1.0,AR,Hotel
76,1010162,4,F,40.0,1.0,PE,Hotel
77,1002059,5,F,48.0,1.0,PE,AirBnB
78,1003865,7,M,29.0,0.0,IT,Hotel
79,1008555,3,M,41.0,0.0,ES,AirBnB
80,1000200,2,M,49.0,1.0,US,Hotel
81,1006577,8,M,31.0,0.0,COL,Hotel
82,1004540,4,F,40.0,1.0,UK,Hotel
83,1008803,4,M,45.0,1.0,PE,Hotel
84,1009321,5,M,40.0,0.0,COL,Hotel
85,1008691,3,M,,1.0,PE,Hotel
86,1008984,3,F,35.0,0.0,AR,AirBnB
87,1013085,3,M,43.0,1.0,US,Hotel
88,1009070,3,M,48.0,0.0,IT,AirBnB
89,1007272,2,M,43.0,1.0,COL,Hotel
90,1006182,4,M,33.0,0.0,UK,Hotel
91,1004949,3,M,42.0,1.0,NL,Hotel
92,1008910,4,F,46.0,0.0,COL,Hotel
93,1012950,3,M,42.0,,PE,AirBnB
94,1006914,11,M,38.0,1.0,UK,AirBnB
95,1011396,4,M,47.0,,COL,Hotel
96,1010434,2,F,43.0,0.0,AR,Hotel
97,1009158,6,F,40.0,,COL,AirBnB
98,1011363,3,M,45.0,1.0,IT,Hotel
99,1006893,3,F,40.0,,,Hotel
100,1007962,6,F,34.0,,US,Hotel
101,1000215,8,M,30.0,0.0,US,Hotel
102,1003618,2,F,39.0,0.0,US,AirBnB
103,1007562,5,F,38.0,0.0,US,AirBnB
104,1010099,3,M,36.0,1.0,UK,AirBnB
105,1002871,3,F,40.0,0.0,UK,AirBnB
106,1007446,5,M,43.0,0.0,ES,AirBnB
107,1000951,1,F,44.0,0.0,COL,Hotel
108,1010881,2,M,41.0,,US,AirBnB
109,1007362,2,M,43.0,,COL,AirBnB
110,1008119,3,M,35.0,,COL,Hotel
111,1003747,3,M,41.0,1.0,AR,Hotel
112,1010156,7,M,45.0,1.0,AR,Hotel
113,1004026,2,M,37.0,0.0,UK,Hotel
114,1012384,3,F,33.0,0.0,AR,AirBnB
115,1006892,3,M,40.0,1.0,NL,AirBnB
116,1009811,5,M,,1.0,COL,Hotel
117,1001243,1,F,41.0,0.0,AR,Hotel
118,1010515,3,M,45.0,1.0,AR,Hotel
119,1003074,5,M,36.0,0.0,ES,Hotel
120,1009033,1,M,35.0,,AR,Hotel
121,1005547,5,F,43.0,0.0,,Hotel
122,1009847,3,F,37.0,,IT,AirBnB
123,1000048,4,F,27.0,1.0,COL,Hotel
124,1005165,5,F,38.0,0.0,COL,AirBnB
125,1013262,4,F,54.0,1.0,NL,AirBnB
126,1013795,7,M,38.0,1.0,,AirBnB
127,1012739,2,F,30.0,,IT,Hotel
128,1008828,4,M,40.0,0.0,IT,Hotel
129,1000511,1,M,39.0,0.0,NL,Hotel
130,1005167,7,M,44.0,1.0,ES,Hotel
131,1011685,4,M,43.0,0.0,ES,AirBnB
132,1008143,3,M,43.0,1.0,US,Hotel
133,1010589,3,M,,,AR,Hotel
134,1005428,4,F,39.0,0.0,,AirBnB
135,1013747,3,M,43.0,1.0,US,Hotel
136,1011435,5,F,48.0,1.0,COL,AirBnB
137,1013672,3,M,54.0,0.0,COL,AirBnB
138,1009235,5,F,39.0,1.0,COL,Hotel
139,1013634,9,M,43.0,1.0,ES,Hotel
140,1013373,1,F,,0.0,COL,Hotel
141,1009816,6,F,35.0,1.0,UK,Hotel
142,1000979,5,F,,1.0,NL,AirBnB
143,1010926,5,M,41.0,1.0,COL,Hotel
144,1005599,1,M,47.0,0.0,IT,AirBnB
145,1003641,6,M,48.0,0.0,US,AirBnB
146,1007599,6,F,47.0,0.0,AR,Hotel
147,1003495,7,M,44.0,1.0,NL,Hotel
148,1002587,5,F,34.0,,IT,Hotel
149,1005338,2,M,41.0,0.0,COL,AirBnB
150,1014051,2,M,40.0,1.0,IT,AirBnB
151,1011168,3,M,57.0,1.0,US,AirBnB
152,1003487,9,F,44.0,1.0,US,AirBnB
153,1003284,6,F,46.0,1.0,UK,AirBnB
154,1010021,2,M,41.0,1.0,AR,Hotel
155,1001101,3,M,38.0,1.0,UK,AirBnB
156,1007960,5,F,45.0,1.0,UK,AirBnB
157,1013681,2,F,34.0,0.0,IT,AirBnB
158,1010343,2,F,37.0,1.0,PE,Hotel
159,1012894,3,F,48.0,1.0,,AirBnB
160,1004210,5,F,39.0,1.0,UK,Hotel
161,1012774,3,M,39.0,1.0,COL,AirBnB
162,1005067,4,M,38.0,0.0,US,Hotel
163,1011421,4,F,33.0,1.0,ES,Hotel
164,1002762,2,M,41.0,0.0,NL,AirBnB
165,1013302,2,F,38.0,1.0,UK,Hotel
166,1004568,3,F,38.0,,ES,Hotel
167,1006958,4,M,43.0,1.0,AR,Hotel
168,1010483,1,M,45.0,1.0,IT,Hotel
169,1009464,11,M,46.0,0.0,AR,AirBnB
170,1001543,4,F,39.0,1.0,IT,Hotel
171,1003672,7,M,39.0,,US,AirBnB
172,1010599,2,F,51.0,1.0,NL,AirBnB
173,1011349,4,F,39.0,1.0,UK,Hotel
174,1012654,3,M,42.0,0.0,IT,AirBnB
175,1009466,4,M,39.0,0.0,,Hotel
176,1004685,4,M,35.0,0.0,AR,Hotel
177,1007502,5,F,47.0,0.0,UK,Hotel
178,1004599,5,F,,1.0,IT,AirBnB
179,1013297,6,F,39.0,1.0,PE,Hotel
180,1003599,3,F,47.0,1.0,,AirBnB
181,1013248,7,F,,0.0,AR,Hotel
182,1005527,2,F,39.0,1.0,COL,Hotel
183,1006220,4,M,37.0,0.0,PE,Hotel
184,1009382,4,M,45.0,0.0,UK,AirBnB
185,1011393,3,M,39.0,0.0,UK,Hotel
186,1009893,2,M,50.0,1.0,IT,Hotel
187,1005606,6,F,41.0,1.0,UK,AirBnB
188,1014080,4,F,34.0,1.0,COL,Hotel
189,1001767,3,F,40.0,1.0,AR,Hotel
190,1005469,6,M,41.0,0.0,NL,AirBnB
191,1005681,1,M,35.0,0.0,ES,Hotel
192,1011103,3,M,44.0,1.0,NL,Hotel
193,1007419,1,M,48.0,0.0,ES,AirBnB
194,1011145,7,M,35.0,,IT,Hotel
195,1001297,2,M,34.0,1.0,IT,AirBnB
196,1009993,4,M,50.0,0.0,AR,AirBnB
197,1013523,4,M,45.0,0.0,IT,AirBnB
198,1005703,2,M,38.0,0.0,ES,Hotel
199,1011146,2,M,37.0,0.0,IT,Hotel
200,1005289,5,M,42.0,0.0,UK,AirBnB
201,1010710,7,F,42.0,0.0,COL,Hotel
202,1005347,2,F,40.0,0.0,ES,AirBnB
203,1001487,5,M,34.0,0.0,PE,Hotel
204,1007992,5,F,36.0,1.0,NL,Hotel
205,1006409,5,F,48.0,0.0,PE,Hotel
206,1010303,3,F,45.0,0.0,IT,Hotel
207,1004892,1,M,41.0,1.0,,Hotel
208,1001422,5,F,36.0,1.0,UK,Hotel
